,USERID,NPOSTS,NTOKENS,EXT,NEU,AGR,CON,OPN
22,25789f19-6181-492d-9f0d-d3b6d07fcc97,100,1114,0.9,0.2,0.7,0.9,1.0
23,2aa1a2fb-ff75-4228-a806-f66c39b292f9,100,1191,0.6,0.3,0.7,0.5,0.6
24,2ae9cc17-b851-4f6a-910e-bf2a2f6d91ab,100,1331,0.7,0.8,0.7,0.8,0.7
25,2b27ab92-c89d-4529-a238-905974a11cfd,100,1058,0.4,0.3,0.6,0.7,0.8
26,34e43885-7fae-4207-80f2-853c0eba099a,100,1331,0.4,0.3,0.6,0.7,0.8
27,3a396b48-d99c-4b22-9040-a50b6976f7cd,41,406,0.6,0.8,0.7,0.3,1.0
28,3aae4b14-7dfe-4cb7-b82a-629d01d06da0,100,1168,0.5,0.4,0.5,0.6,1.0
29,3be30fbc-698d-48c9-916b-b3a50bf38252,100,1961,0.7,0.3,0.6,0.6,1.0
30,3c608533-476b-4710-b303-d84aaef3ee9d,33,517,0.9,0.0,0.7,0.7,0.7
31,3d50490f-f49f-4cb4-86e9-ed57caf70ab4,99,845,0.7,0.4,0.7,0.6,0.6
32,3e2cdc34-bffe-4ba7-8bd5-fc07ad904dc1,100,1212,0.8,0.0,0.6,0.7,0.7
33,3f27d01d-1638-49d3-ade5-84e5372cbc9d,87,1107,0.6,0.4,0.6,0.6,0.6
34,493a2b48-98b3-4837-bd04-e32646f78aa3,49,487,0.2,0.6,0.8,0.6,0.6
35,4b05f4e0-2b12-48f1-94c0-c55b4caf534c,100,1434,1.0,0.5,0.8,0.8,0.9
36,4c1d5bd8-7bf3-42db-b84c-426aee515a1f,100,817,0.6,0.6,0.4,0.6,0.6
37,4e165fb2-3dac-413a-a38d-696737dd775b,55,709,0.3,0.0999999999999999,0.6,0.7,0.7
38,5097f2bf-bb7a-48f3-8c40-278ed7ff655c,100,995,0.8,0.6,0.2,0.8,0.6
39,522a6f2f-d308-4b0e-ab31-0ab817e1f5d6,100,1244,0.6,0.5,0.7,0.5,0.6
40,541812a8-23ca-40a2-ba5a-2ae0908eada2,100,980,0.5,0.8,0.6,0.4,0.8
41,57af56a7-246a-4d59-af27-f1c8e8d231b1,100,1819,0.8,0.2,0.7,0.6,0.7
42,57c6c6f0-1989-4fe1-895e-1be3194aaf3b,100,1714,0.7,0.3,0.9,0.9,1.0
43,5836844e-18ac-45ff-b8fe-e26dffbe9f6e,95,1214,0.4,0.2,0.7,0.5,0.8
44,59c19daa-873b-434d-98d9-3b8c0168f946,100,1716,0.6,0.5,0.7,0.6,0.6
45,5a3757da-1eda-4bb5-bf68-816fa10c2231,100,1381,0.5,0.7,0.2,0.8,0.7
46,5d719be8-9c09-435f-8dde-3253eb1b3191,98,782,0.7,0.4,0.7,0.6,0.6
47,5def4eb3-e861-4864-a2f2-669680902007,95,1305,0.9,0.2,1.0,0.7,0.8
48,5f8d6f5f-b051-4db0-96e9-f5125c74b922,100,1258,0.6,0.3,0.7,0.5,0.6
49,5fea747d-78d3-4baa-915b-1ef6d94c60a7,100,2218,0.7,0.5,0.5,0.8,0.9
50,60468a75-1938-4366-abaa-5ad1cc1b0b8e,100,1555,0.6,0.3,0.6,0.6,0.6
51,61c4aca8-6e7f-4da3-9b30-1f99f7656189,100,865,0.6,0.3,0.8,0.8,0.6
52,62bffe2f-1a49-4c79-9f53-ed2e666d41cf,100,1644,0.8,0.6,0.4,0.5,0.4
53,675ce760-4be6-46ef-8190-2009f80fe283,100,1288,1.0,0.2,0.5,0.6,0.8
54,68321c6d-6e38-4dd3-9a1a-535a25454d9b,100,1343,0.4,0.3,0.6,0.5,0.7
55,68aa0510-c167-41ae-9c3b-8ac8987db0db,100,1120,0.7,0.3,0.6,0.8,0.6
56,68b27ee9-bf56-45db-be9a-2e0970d2b6b8,85,1214,0.6,0.0999999999999999,1.0,1.0,0.8
57,6919c68c-ce0f-47b7-a5f7-9e55eef6a557,100,1280,0.9,0.8,0.5,0.6,0.8
58,69269faf-28b6-47aa-9fa0-cb4b30c684a6,41,485,0.6,0.4,0.6,0.7,0.7
59,69ba7d3d-eac7-4878-9d3f-984353a91c15,96,804,0.7,0.4,0.7,0.6,0.6
60,69f8e2b2-3fe7-41e7-9096-72dfc34bd736,100,1224,0.8,0.0,0.6,0.7,0.7
61,6a3addbf-f699-482d-ba2f-02248d52db95,100,1618,0.9,0.0,0.7,0.7,0.7
62,6c51bbf8-f00e-4ddf-8ff5-cf034a6cfbd8,100,1083,0.6,0.4,0.4,0.9,0.6
63,6c5201d6-b53a-4638-a299-02aa2f2ce373,100,1355,0.7,0.0999999999999999,0.7,0.6,0.9
64,703806e5-f04b-4e7c-8456-7340784ecf76,100,1028,0.6,0.6,0.5,0.7,0.6
65,70606fb5-7711-4735-b69f-50941e0ba90b,100,1063,0.6,0.0999999999999999,0.6,0.5,0.9
66,7175696d-d60e-44ed-aebc-1f8582567995,52,537,0.6,0.3,0.8,0.8,0.6
67,717b2dd5-db5c-4cc8-9203-fda1857fe8a8,100,1429,0.7,0.0999999999999999,0.7,0.6,0.9
68,7418df48-598b-49df-9ccb-be12715c21ea,100,1417,0.8,0.3,0.7,0.7,0.6
69,78fb5696-dc1c-4ea9-b4e4-ae67acd7de72,100,1116,1.0,0.4,0.6,0.6,0.6
70,7b2bdc7a-cfee-4b1d-acfb-7ae140bb4a38,100,1145,0.6,0.6,0.7,0.5,0.7
71,7f98ebb4-a2da-4579-9c3c-0f2fbaafc754,42,306,0.9,0.2,0.9,0.8,0.8
72,81584f97-1167-49e0-8da0-0d4d66f8e238,100,946,0.9,0.0,0.6,0.7,0.9
73,83503d6c-8164-41a9-8f29-b7f80fa5ce1f,74,776,0.5,0.7,0.6,0.5,0.8
74,8398faf9-5d2b-4613-8547-b31cd47d249e,100,969,0.6,0.0999999999999999,0.5,0.6,0.7
75,852149e1-b47d-4686-bada-b3dc7e500fd5,100,1468,0.7,0.8,0.7,0.8,0.7
76,85879831-9972-484c-8686-103c2bfae297,100,1337,0.4,0.3,0.6,0.5,0.7
77,88d5bfa3-8612-409c-8216-9c9aac3a64d2,100,1275,0.5,0.7,0.2,0.8,0.7
78,89fab4e9-24f0-4a97-8e10-ca357cc7865c,100,1743,0.5,0.2,1.0,0.9,0.7
79,8cbaca7e-e1a3-4e94-bc07-2301dd206e5e,100,1124,0.7,0.4,0.8,0.8,0.6
80,8f04a1f5-8cbb-4c27-bb1b-7bdc3b0dcc7e,100,1313,0.8,0.0,0.6,0.7,0.7
81,912ab3dd-fbc1-4bdf-a3e0-07a8ce054ece,100,1223,0.7,0.3,0.6,0.8,0.8
82,91947b38-5ecd-4b12-957a-26e52198f058,100,1480,0.8,0.4,0.6,1.0,1.0
83,91c6d3f2-738c-4b86-8f1c-31a2311f987d,100,1183,0.4,0.3,0.6,0.5,0.7
84,92defdbb-307e-4d13-b9ce-703f55adcf79,100,1249,0.6,0.6,0.4,0.6,0.6
85,9411c815-9eb6-466e-b3e2-1e739510c94b,99,1443,0.8,0.4,0.6,1.0,1.0
86,956f4dba-c26b-4f12-ae6d-f908c742cadc,100,1887,0.7,0.3,0.9,0.9,1.0
87,97432f40-f518-422d-8a13-b67c78933c32,100,1023,0.7,0.3,0.6,0.8,0.8
88,97999fdb-0754-4bf1-9dce-6f0cdec6558f,100,1264,0.7,0.2,0.8,0.7,0.8
89,98ae4949-8a9c-481c-911c-a3fa49eea244,100,1026,0.4,0.3,0.6,0.7,0.8
90,98d08ed3-5b05-4635-a53e-3e5b774befea,100,1834,0.8,0.2,0.7,0.6,0.7
91,994c8615-1ca7-48e5-9e96-3af155260a18,100,970,0.6,0.0999999999999999,0.6,0.5,0.9
92,99710477-8e8f-4387-b228-d8cc1ca86d17,100,1780,0.7,0.0999999999999999,0.7,0.5,0.7
93,9f4836b6-5ba0-4523-a161-199c6ee97627,100,1384,0.6,0.3,0.8,0.6,0.7
94,9f4ca5ba-5075-446c-b93a-c0a93ce9bfbc,100,1548,0.6,0.4,0.6,0.6,0.6
95,a1e96b2b-17eb-4450-911b-751a31fadf15,100,1287,1.0,0.2,0.5,0.6,0.8
96,a49c605b-81b9-463c-8e49-a9a6e06f3856,100,1079,0.4,0.6,0.6,0.6,0.6
97,a6323e6d-213e-4105-920c-d375023e5645,100,1458,0.6,0.6,0.6,0.8,1.0
98,a7074373-735a-4ff9-b790-ef1d48713de1,100,1144,0.6,0.6,0.4,0.6,0.6
99,a71c93ed-a929-4f59-8728-6639a6d31975,100,2235,0.7,0.5,0.5,0.8,0.9
100,aa0776b5-03cf-4915-b880-a1cff2b3cf57,100,1101,0.5,0.6,0.6,0.4,0.6
101,aabae9fc-b393-4124-9a1c-32370eb1adfc,32,352,1.0,0.0999999999999999,0.9,0.8,0.7
102,ac599f45-3c95-4599-86f1-78a6494011f7,100,964,0.8,0.2,0.9,0.7,0.6
103,ae414abd-cd83-4f0d-bc8c-d0a34a0071a3,100,1064,0.7,0.5,0.6,0.6,0.9
104,aea6d407-5981-42ce-bccf-1d2bf4094543,62,336,0.8,0.0,0.8,0.9,0.8
105,b172e999-3a20-499e-a109-c430dde40526,100,1358,0.5,0.4,0.7,0.7,0.6
106,b1e938db-2e6c-46b5-a006-213bbada216b,100,1228,1.0,0.5,0.8,0.8,0.9
107,b38fee80-2fb1-4481-be25-e8297aae928d,100,1386,0.7,0.0999999999999999,0.7,0.5,0.7
108,b3ff1402-beab-4395-a107-56e5fb19c0e9,100,1190,0.5,0.7,0.2,0.8,0.7
109,b439d015-6fe7-4b28-b5bd-0f39318b0ff6,100,1331,0.6,0.5,0.7,0.5,0.6
110,b7bc6377-b203-4a28-a24f-6320b9195041,32,356,1.0,0.6,0.7,0.7,1.0
111,b7e9f372-21a8-461b-b4f0-950205f84da0,100,1301,0.7,0.6,0.7,0.5,0.6
112,b90df535-3585-40ac-b6ac-59ef4fdab88d,90,1145,0.5,0.0999999999999999,0.3,1.0,1.0
113,b9f601e6-a78d-4c78-9929-aca6df0f1538,56,419,0.6,0.0999999999999999,0.5,0.6,0.7
114,bb414002-cc26-4103-a00b-7f52a72efd59,41,355,0.7,0.4,0.3,0.5,0.7
115,bb88ec91-6085-4a89-94e0-6ae12a3afd3a,100,1977,0.6,0.3,0.5,0.8,0.8
116,bde7a38f-fd87-4777-a954-d3ec34873d8a,100,1433,0.5,0.7,0.2,0.8,0.7
117,be1f9286-68c1-4864-b269-4b6de3b8b7eb,100,1058,0.8,0.0999999999999999,0.7,0.4,0.9
118,c0f2ba6b-200e-44fb-ac60-81084eec9daa,100,873,0.6,0.0999999999999999,0.5,0.6,0.7
119,c148f06c-d71a-4c3e-bee0-e35acba6916c,97,1207,0.9,0.8,0.5,0.6,0.8
120,c2253559-eb87-44ac-9a0b-a1d1a0cdfd48,100,1020,0.6,0.4,0.4,1.0,0.6
121,c4a413a1-1170-4c2c-9f97-3f0bfb474154,84,1005,1.0,0.3,1.0,0.7,0.6
122,c65228f6-59a4-41a9-8d06-788406e5ff7e,97,1070,0.7,0.0,0.6,0.8,0.6
123,c657394c-bcbd-4b64-8d3a-820011bc8e23,83,889,0.9,0.0,0.6,0.7,0.9
124,c7537d18-440b-451a-991a-22cb30f28d3a,100,1946,0.3,0.8,0.4,0.5,1.0
125,cd2212cd-c54c-4979-aba7-8c0f43d017e9,35,344,0.7,0.3,0.6,0.8,0.6
126,ce325322-8731-426d-837a-60ea688fe82d,100,1513,0.6,0.3,0.5,0.8,0.8
127,d4e76cdb-11e7-44ca-ad47-2fcf718f2fd8,100,1551,0.6,0.4,0.6,0.6,0.6
128,d7f46166-6a9a-4b2c-8560-04e27d2ea14d,100,1925,0.3,0.8,0.4,0.5,1.0
129,da306d3f-2c6f-467e-8752-b8f683ba5e9c,100,2030,0.7,0.5,0.5,0.8,0.9
130,daae7fa9-dcc1-4f20-9e97-d3d71123e8ce,100,1703,0.6,0.3,0.5,0.8,0.8
131,dd453533-94b0-4195-9760-f32d297d8951,100,1082,0.7,0.0999999999999999,0.7,0.6,0.6
132,dde4cfc8-f4cf-47be-8d9c-21b3b7f63098,100,1160,0.6,0.3,0.6,0.6,0.6
133,de7f0515-32b0-4b1e-9fb9-91a66cd434a3,70,615,0.7,0.6,0.7,0.5,0.6
134,e11d4b1e-42e6-44a6-b067-e0873e566fe3,100,1163,0.8,0.0,0.6,0.7,0.7
135,e2041e6d-f7c4-4cde-baac-5ae2a7e636cc,100,1479,0.8,0.3,0.7,0.7,0.6
136,e27e308c-e187-4f8d-b4cb-d845f6c9203f,100,1411,0.9,0.2,0.7,0.9,1.0
137,e5b59ccc-2053-4e8b-ba11-dfeeff92dd5d,56,708,0.5,0.3,0.7,0.8,0.7
138,e78b60f0-b114-4238-a0b2-dbd52ab12b99,100,1198,0.6,0.4,0.4,1.0,0.6
139,e7d022a6-2292-4206-93f5-e63d3b0c3523,100,954,0.7,0.0,0.5,0.5,0.9
140,e942ba7f-1820-4116-a356-01e2e2530e3e,80,1055,0.6,0.6,0.5,0.7,0.6
141,eb5cea6d-ecc7-4c1c-b149-dffb4e4d9373,98,1384,0.8,0.4,0.9,0.5,0.8
142,ed4bf592-b7e0-4b74-ac13-441aa8dbbc95,100,1355,0.6,0.3,0.8,0.6,0.7
143,ed970294-8f36-4008-a82e-183ac9abf6ac,100,1276,0.6,0.3,0.7,0.5,0.6
144,efb846b2-986a-43ae-8b9b-d811f93b52fd,65,791,0.7,0.4,0.8,0.8,0.6
145,f1dcc4ff-0c7c-4fee-9a65-04a13285f327,100,517,0.5,0.6,0.6,0.8,0.9
146,f28ad171-3a6b-4f88-a3c9-feebe7b86747,100,1076,0.9,0.2,0.7,0.9,1.0
147,f3af2ca2-dbfb-4447-a4f2-dfdfdda58640,100,1514,0.6,0.3,0.8,0.6,0.7
148,f707b0c7-f11f-480c-b859-c38ecfa201e2,100,1936,0.8,0.2,0.7,0.6,0.7
149,f7ea5331-febf-4ed4-9416-7353c898ad35,100,1023,0.6,0.2,0.7,0.8,0.5
150,fd7c89ad-deb5-4445-99c5-bf4c698ee371,100,1391,0.4,0.2,0.7,0.5,0.8
151,fde8eb00-0444-4159-9b65-1ead60c2dc88,100,1582,0.8,0.3,0.7,0.7,0.6
